city;lat;lng
Ajaccio;41.919722222222219;8.736111111111111
Bastia;42.703611111111108;9.447777777777778
Bourg-en-Bresse;46.202500000000001;5.221944444444444
Laon;49.562222222222225;3.622500000000000
Moulins;46.568333333333335;3.334444444444444
Digne-les-Bains;44.092222222222219;6.238055555555555
Gap;44.557499999999997;6.076111111111111
Nice;43.696388888888890;7.275000000000000
Privas;44.735277777777775;4.599444444444444
Charleville-Mézières;49.761388888888888;4.720000000000000
Foix;42.967222222222219;1.605833333333333
Troyes;48.297777777777775;4.078333333333333
Carcassonne;43.214722222222221;2.353333333333333
Rodez;44.349444444444444;2.574722222222222
Marseille;43.290277777777774;5.380000000000000
Caen;49.180000000000000;-0.365277777777778
Aurillac;44.929166666666667;2.446944444444445
Angoulême;45.645833333333336;0.156944444444444
La Rochelle;46.157499999999999;-1.157222222222222
Bourges;47.081111111111113;2.395277777777778
Tulle;45.271111111111111;1.768888888888889
Dijon;47.324616438823348;5.041909541769544
Saint-Brieuc;48.514444444444443;-2.765833333333333
Guéret;46.168888888888887;1.869444444444444
Périgueux;45.186944444444443;0.725277777777778
Besançon;47.233611111111109;6.020833333333333
Valence;44.935555555555553;4.893611111111111
Évreux;49.025555555555556;1.142500000000000
Chartres;48.445833333333333;1.481666666666667
Quimper;47.994444444444447;-4.102777777777778
Nîmes;43.831944444444446;4.363055555555555
Toulouse;43.598611111111111;1.450277777777778
Auch;43.646666666666668;0.586388888888889
Bordeaux;44.837499999999999;-0.586666666666667
Montpellier;43.611111111111114;3.876666666666667
Rennes;48.113611111111112;-1.674444444444445
Châteauroux;46.811666666666667;1.686944444444444
Tours;47.393055555555556;0.691944444444444
Grenoble;45.188333333333333;5.732500000000000
Lons-le-Saunier;46.671944444444442;5.550555555555555
Mont-de-Marsan;43.893333333333331;-0.499722222222222
Blois;47.590833333333336;1.333888888888889
Saint-Étienne;45.442500000000003;4.386388888888889
Le Puy-en-Velay;45.041111111111114;3.883888888888889
Nantes;47.220555555555556;-1.553055555555555
Orléans;47.900277777777781;1.910555555555556
Cahors;44.447499999999998;1.442222222222222
Agen;44.198611111111113;0.614722222222222
Mende;44.517777777777781;3.498333333333333
Angers;47.466111111111111;-0.555000000000000
Saint-Lô;49.116111111111110;-1.095555555555556
Châlons-en-Champagne;48.953333333333333;4.366388888888889
Chaumont;48.114444444444445;5.140555555555555
Laval;48.069722222222225;-0.766388888888889
Nancy;48.694166666666668;6.185277777777777
Bar-le-Duc;48.773888888888891;5.158055555555555
Vannes;47.658055555555556;-2.753611111111111
Metz;49.122500000000002;6.174722222222222
Nevers;46.993333333333332;3.163055555555556
Lille;50.632222222222225;3.059722222222222
Beauvais;49.440555555555555;2.076666666666667
Alençon;48.432499999999997;0.091388888888889
Arras;50.292777777777779;2.764722222222222
Clermont-Ferrand;45.777222222222221;3.084166666666667
Pau;43.296111111111109;-0.369166666666667
Tarbes;43.234166666666667;0.068055555555556
Perpignan;42.700000000000003;2.893611111111111
Strasbourg;48.588333333333331;7.755000000000000
Colmar;48.074166666666663;7.351388888888889
Lyon;45.760833333333331;4.843333333333334
Vesoul;47.623333333333335;6.152500000000000
Mâcon;46.306994303845883;4.834704438023452
Le Mans;48.000833333333333;0.197222222222222
Chambéry;45.564166666666665;5.918055555555556
Annecy;45.902500000000003;6.129722222222222
Paris;48.856296190448617;2.353280218702469
Rouen;49.446111111111108;1.080833333333333
Melun;48.540555555555557;2.655000000000000
Versailles;48.802500000000002;2.132500000000000
Niort;46.325000000000003;-0.465833333333333
Amiens;49.890555555555558;2.296388888888889
Albi;43.928333333333335;2.146388888888889
Montauban;44.015833333333333;1.356388888888889
Toulon;43.129444444444445;5.934166666666666
Avignon;43.948333333333331;4.819166666666667
La Roche-sur-Yon;46.667499999999997;-1.428055555555556
Poitiers;46.580833333333331;0.335833333333333
Limoges;45.833333333333336;1.256944444444444
Épinal;48.170277777777777;6.450000000000000
Auxerre;47.798055555555557;3.572222222222222
Belfort;47.638242573387792;6.861370643049034
Évry;48.628888888888888;2.435000000000000
Nanterre;48.897222222222226;2.215833333333333
Bobigny;48.905277777777776;2.450277777777778
Créteil;48.781944444444441;2.451388888888889
Pontoise;49.035277777777779;2.077777777777778
Basse-Terre;15.992500000000000;-61.722499999999997
Fort-de-France;14.605833333333333;-61.067777777777778
Cayenne;4.937500000000000;-52.332222222222221
Saint-Denis;-20.875833333333333;55.446111111111108
Mamoudzou;-12.775555555555556;45.229166666666664
Marigot, Saint-Martin;18.070277777777779;-63.084722222222226
Marigot;18.070277777777779;-63.084722222222226
Papeete;-17.544444444444444;-149.569444444444457
Nouméa;-22.268055555555556;166.443055555555560
